pitch_type,game_date,balls,strikes,outs_when_up,inning,at_bat_number,pitch_number,pitcher_days_since_prev_game,run_diff,runners_on,prev_release_speed,prev_release_spin_rate,prev_pitch_type_FF,prev_pitch_type_FS,prev_pitch_type_SI,prev_pitch_type_SL,stand_L,stand_R,p_throws_R
FS,2025-10-25,0.9487247641998899,1.0046577896260382,1.2255520542061398,1,-1.45645009427089,2.791664096869834,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,1.1399397663170725,1.1626513482097403,True,False,False,False,True,False,True
SL,2025-10-25,-1.1875645649774846,-0.37634459355255023,1.2255520542061398,1,-1.3914261693702537,-1.0213405232450612,-1.0659913446803069,-0.13254973639276357,0.3742160643352588,1.0061983052010366,0.9444519122005393,True,False,False,False,False,True,True
FS,2025-10-25,-0.11941990038879732,-1.7573469767311387,1.2255520542061398,1,-1.3264022444696175,-1.0213405232450612,-1.0659913446803069,-0.6074428114244171,0.6778026742263589,-0.9043939964566526,1.274868201014472,False,False,False,True,False,True,True
FS,2025-10-25,-0.11941990038879732,-0.37634459355255023,1.2255520542061398,1,-1.3264022444696175,-0.3858397532259121,-1.0659913446803069,-0.6074428114244171,0.6778026742263589,-1.0954532266224215,-1.4650932883010654,False,True,False,False,False,True,True
FS,2025-10-25,-0.11941990038879732,1.0046577896260382,1.2255520542061398,1,-1.3264022444696175,0.24966101679323716,-1.0659913446803069,-0.6074428114244171,0.6778026742263589,-1.05724138058927,-1.0910371122852924,False,True,False,False,False,True,True
FF,2025-10-25,-1.1875645649774846,-0.37634459355255023,-1.2534601889308965,2,-0.9362586950657998,-1.0213405232450612,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,0.7005035369358046,0.08723984216439266,True,False,False,False,True,False,True
FS,2025-10-25,-1.1875645649774846,-0.37634459355255023,-0.013954067362378418,2,-0.8712347701651635,-1.0213405232450612,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,0.8533509210684191,0.9319833730000135,True,False,False,False,False,True,True
FS,2025-10-25,-0.11941990038879732,-0.37634459355255023,-0.013954067362378418,2,-0.8712347701651635,-0.3858397532259121,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,-0.8852880734400769,-0.9912887986810863,False,True,False,False,False,True,True
FF,2025-10-25,0.9487247641998899,-0.37634459355255023,-0.013954067362378418,2,-0.8712347701651635,0.24966101679323716,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,-0.9617117655063855,-1.0848028426850296,False,True,False,False,False,True,True
FF,2025-10-25,0.9487247641998899,1.0046577896260382,-0.013954067362378418,2,-0.8712347701651635,0.8851617868123863,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,0.6622916909026503,0.39583618737740545,True,False,False,False,False,True,True
FS,2025-10-25,-0.11941990038879732,-1.7573469767311387,1.2255520542061398,2,-0.8062108452645272,-1.0213405232450612,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,0.7769272290021133,0.1776367513682045,True,False,False,False,True,False,True
FF,2025-10-25,0.9487247641998899,-1.7573469767311387,1.2255520542061398,2,-0.8062108452645272,-0.3858397532259121,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,-1.3820420718710749,-1.6957612635107921,False,True,False,False,True,False,True
FF,2025-10-25,2.0168694287885773,-1.7573469767311387,1.2255520542061398,2,-0.8062108452645272,0.24966101679323716,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,0.6049739218529201,0.4706474225805601,True,False,False,False,True,False,True
FF,2025-10-25,2.0168694287885773,-0.37634459355255023,1.2255520542061398,2,-0.8062108452645272,0.8851617868123863,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,0.5858679988363443,0.8322350593958073,True,False,False,False,True,False,True
FF,2025-10-25,2.0168694287885773,1.0046577896260382,1.2255520542061398,2,-0.8062108452645272,1.5206625568315355,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,0.7005035369358046,0.7356038805917327,True,False,False,False,True,False,True
FF,2025-10-25,-0.11941990038879732,-1.7573469767311387,-1.2534601889308965,3,-0.48109122076134586,-1.0213405232450612,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,0.7769272290021133,-0.02809414544047069,True,False,False,False,False,True,True
FF,2025-10-25,-0.11941990038879732,-0.37634459355255023,-1.2534601889308965,3,-0.48109122076134586,-0.3858397532259121,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,0.8151390750352676,0.24933085177122766,True,False,False,False,False,True,True
FS,2025-10-25,-1.1875645649774846,-0.37634459355255023,-0.013954067362378418,3,-0.41606729586070956,-1.0213405232450612,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,1.2736812274331113,0.7293696109914698,True,False,False,False,True,False,True
FF,2025-10-25,-0.11941990038879732,-0.37634459355255023,-0.013954067362378418,3,-0.41606729586070956,-0.3858397532259121,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,-0.8661821504235011,-0.9601174506797719,False,True,False,False,True,False,True
FF,2025-10-25,-1.1875645649774846,-0.37634459355255023,-0.013954067362378418,4,0.10412410334438067,-1.0213405232450612,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,0.7578213059855348,0.1651682121676787,True,False,False,False,False,True,True
FS,2025-10-25,-1.1875645649774846,-0.37634459355255023,1.2255520542061398,4,0.16914802824501696,-1.0213405232450612,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,1.0826219972673425,1.0223802822038253,True,False,False,False,False,True,True
